Zip Code,Unemployment Rate (%)
33065,6.1
33066,8.4
33067,4.8
33068,6.0
33069,12.0
33070,1.9
33071,7.6
33073,4.1
33076,4.6
330MX,5.3
33109,Unavailable
33122,1.1
33125,3.3
33126,2.5
33127,8.0
33128,6.2
33129,3.5
33130,3.6
33131,3.5
33132,4.9
33133,4.4
33134,2.7
33135,5.2
33136,12.0
33137,4.7
33138,3.8
33139,3.4
33140,2.7
33141,5.2
33142,7.5
33143,4.2
33144,3.5
33145,3.9
33146,7.8
33147,7.6
33149,4.1
33150,9.6
33154,4.3
33155,2.7
33156,3.9
33157,5.5
33158,4.0
33160,4.7
33161,7.3
33162,6.0
33165,4.4
33166,1.2
33167,4.6
33168,6.0
33169,8.2
33170,7.3
33172,3.5
33173,2.9
33174,5.5
33175,4.2
33176,3.5
33177,4.5
33178,3.7
33179,6.2
33180,4.1
33181,4.0
33182,2.2
33183,4.7
33184,3.2
33185,2.2
33186,2.7
33187,3.5
33189,2.4
33190,6.1
33193,2.7
33194,2.1
33195,Unavailable
33196,3.6
33199,Unavailable
331MX,5.3
33256,Unavailable
33301,1.7
33304,3.7
33305,4.1
33306,1.5
33308,5.7
33309,7.1
33311,8.3
33312,6.2
33313,8.6
33314,5.0
33315,1.6
33316,3.1
33317,6.3
33319,6.4
33321,6.3
33322,5.8
33323,4.6
33324,5.7
33325,5.1
33326,3.4
33327,4.7
33328,4.6
33330,2.2
33331,2.6
33332,3.9
33334,6.2
33351,4.7
33388,Unavailable
33394,Unavailable
33401,8.3
33403,7.3
33404,10.5
33405,3.4
33406,5.9
33407,7.5
33408,3.2
33409,7.1
33410,5.3
33411,5.0
33412,3.4
33413,8.4
33414,4.3
33415,6.8
33416,Unavailable
33417,8.0
33418,2.4
33420,Unavailable
33421,Unavailable
33426,7.4
33428,4.0
33430,12.4
33431,7.5
33432,5.8
33433,4.0
33434,3.9
33435,5.1
33436,6.7
33437,5.1
33438,23.7
33440,6.1
33441,8.7
33442,5.2
33444,5.7
33445,5.0
33446,7.0
33448,Unavailable
33449,4.9
33455,5.3
33458,4.2
33460,5.0
33461,7.3
33462,8.1
33463,5.1
33467,4.9
33469,3.6
33470,3.9
33471,2.3
33472,5.2
33473,6.3
33476,26.2
33477,1.4
33478,2.8
33480,4.7
33483,7.7
33484,6.7
33486,5.4
33487,5.6
33493,9.4
33496,5.3
33498,3.9
334MH,5.3
334MX,5.3
33510,4.8
33511,4.8
33513,6.9
33514,5.4
33521,16.3
33523,14.7
33525,3.8
33527,4.5
33534,6.1
33538,3.6
33540,7.1
33541,4.4
33542,5.6
33543,2.6
33544,4.3
33545,6.4
33547,5.2
33548,3.5
33549,3.5
33556,3.0
33558,4.3
33559,5.9
33563,3.4
33565,3.3
33566,4.9
33567,4.9
33569,6.1
33570,5.4
33572,4.5
33573,4.3
33574,15.3
33576,2.6
33578,4.2
33579,5.8
33584,4.3
33585,1.5
33586,Unavailable
33592,6.7
33594,4.1
33596,4.6
33597,4.0
33598,3.0
33602,2.9
33603,3.5
33604,5.9
33605,10.4
33606,5.0
33607,4.6
33609,3.9
33610,6.9
33611,2.7
33612,6.5
33613,5.1
33614,6.7
33615,5.8
33616,5.0
33617,9.0
33618,3.6
33619,5.4
33620,3.1
33621,10.4
33624,4.0
33625,3.5
33626,2.8
33629,2.3
33630,Unavailable
33634,5.0
33635,4.8
33637,3.5
33647,4.1
33701,3.7
33702,4.5
33703,3.2
33704,2.7
33705,7.9
33706,5.6
33707,5.4
33708,3.7
33709,5.2
33710,3.5
33711,9.2
33712,4.9
33713,3.6
33714,6.9
33715,3.3
33716,5.2
33730,Unavailable
33744,Unavailable
33755,3.2
33756,4.2
33759,7.2
33760,7.2
33761,2.4
33762,3.1
33763,4.2
33764,5.6
33765,7.1
33767,3.6
33770,6.5
33771,5.1
33772,3.0
33773,3.8
33774,4.5
33776,3.2
